disease,drug,zscore,d,mean,sd
C0007134,DB00355,0.7185191077150459,1.8333333333333333,1.6908333333333334,0.19832457963875505
C0020538,DB00959,-4.539320997381845,0.5333333333333333,1.0174666666666667,0.10665324915611128
C0031099,DB06209,0.5863953145330327,2.0,1.923625,0.13024490153169144
C0020443,DB00972,-2.5009840518493376,1.0,1.874,0.34946244433415163
C0149931,DB06151,-0.33710402153466806,1.3571428571428572,1.3937857142857142,0.10869896175085705
C0235480,DB00768,0.5345819821382446,2.0,1.761,0.44707829291970774
C0024141,DB00618,-0.18581344114912177,1.0,1.0395,0.2125788089156584
C0004096,DB01151,-1.414368257909828,1.2,1.3892666666666664,0.13381710569945005
C0022568,DB01165,-0.34322537146389864,1.9090909090909092,1.9495454545454545,0.11786583632206926
C3495559,DB00111,-3.7495966291344063,0.5,1.4765,0.2604280130861502
C0028840,DB00741,-2.261190493020695,1.5555555555555556,1.718611111111111,0.07211049049553173
C0020538,DB00714,-3.164544451711195,0.7857142857142857,1.1623571428571426,0.11901961337253177
C0079744,DB08797,-0.0690168270596826,1.0,1.016,0.23182752209347363
C0015230,DB01356,-1.3219403398649991,1.5348837209302326,1.6266976744186046,0.06945393125513387
C0032285,DB00622,-0.5494520545776853,1.3571428571428572,1.4228571428571428,0.11959967237686338
C0004096,DB00858,0.308691191835397,1.0,0.913,0.2818350581457176
C0042164,DB00619,0.7888495910728464,1.6666666666666667,1.6123666666666667,0.0688344148421897
C1269683,DB00991,-2.840521025011962,0.5,1.404,0.31825147289525624
C0030193,DB00324,-0.42363704875532565,1.0,1.0846666666666664,0.19985661526871373
C0004096,DB00312,2.484700600800044,1.8333333333333333,1.5378888888888889,0.11890545055984403
C0003962,DB09213,-0.4989794346943645,1.5,1.6745,0.34971381156597175
C0271084,DB01620,0.11577288531550524,2.0,1.961,0.33686644237739083
C0001403,DB00302,0.30512572076725375,2.0,1.911,0.29168304715906956
C0024138,DB09555,-3.680351904069389,1.0,1.977,0.2654637451705976
C0034065,DB03793,-0.06829168986300892,2.0,2.021,0.30750447151220417
C0036341,DB00620,-4.105800981214465,0.6818181818181818,1.0714545454545454,0.09489898936141619
C0036341,DB00476,-3.677385890463736,0.7333333333333333,1.1649333333333332,0.11736598030661749
C0014175,DB01244,-1.3163182640899604,1.2,1.3862,0.14145515190335062
C0003467,DB00742,-1.437242851159832,1.1666666666666667,1.421,0.17695919178035246
C0020443,DB01017,1.8183176816055084,2.125,1.851375,0.1504825052124
C0002962,DB01380,-0.6434340694412733,1.0,1.308,0.47868152251784274
C0278488,DB00388,-3.2982495959244384,1.2142857142857142,1.6519285714285716,0.13268942947302756
C0020538,DB00368,-4.160073748924063,0.7391304347826086,1.0782173913043478,0.08150984261022742
C0030193,DB09352,-3.3158002757647864,1.1111111111111112,1.565,0.13688667927509587
C0014175,DB00281,-1.9086297352804937,1.4,1.636666666666667,0.1239982078723542
C0005684,DB00449,-0.5017555871185367,1.0,1.156,0.3109083466232452
C0034012,DB06650,-0.7931278448603329,1.0,1.421,0.5308097587648517
C0278488,DB00040,-0.5586385634119023,1.7777777777777777,1.8603333333333336,0.14777990808823746
C0027796,DB00858,-0.12239333479034106,1.0,1.035,0.2859632843565761
C0010346,DB01183,1.11104183768537,1.7272727272727273,1.5772727272727272,0.13500841724601
C0036508,DB00519,0.05590277781938166,2.0,1.988,0.21465838493341516
C0026769,DB00852,-0.42912403349582556,1.4705882352941178,1.513705882352941,0.10047828528169048
C0017612,DB00620,0.1886904351475753,1.9090909090909092,1.8934545454545455,0.08286781269084693
C0023449,DB00283,1.0289415915556044,1.875,1.733125,0.1378844058441708
C0035021,DB00199,-1.8804513084417473,1.7894736842105263,1.9555263157894738,0.08830466964685645
C0020538,DB00603,-5.111541681226232,0.5714285714285714,1.1119285714285714,0.10574109216112992
C0015230,DB00306,1.3623661294243115,2.0555555555555554,1.9167777777777777,0.10186525837692421
C0015967,DB00515,-3.89536527965132,1.129496402877698,1.282877697841727,0.039375330412596984
C0013604,DB00458,-0.8465270174893873,1.7272727272727273,1.8314545454545454,0.12306969066480415
C0079773,DB08872,-0.43135115914409183,1.9583333333333333,1.9949166666666664,0.08481102358904898
C0085612,DB00009,-1.2187936257782956,1.736842105263158,1.850421052631579,0.09318964668517356
C0476089,DB01148,1.414298637366756,2.0,1.67525,0.22961911396919904
